unicode	country	unicode_1	country_code
\\u0001f1e7\\u0001f1f9	Bhutan	\u0001f1e7\u0001f1f9	flag: Bhutan
\\u0001f1e7\\u0001f1fb	Bouvet Island	\u0001f1e7\u0001f1fb	flag: Bouvet Island
\\u0001f1e7\\u0001f1fc	Botswana	\u0001f1e7\u0001f1fc	flag: Botswana
\\u0001f1e7\\u0001f1fe	Belarus	\u0001f1e7\u0001f1fe	flag: Belarus
\\u0001f1e7\\u0001f1ff	Belize	\u0001f1e7\u0001f1ff	flag: Belize
\\u0001f1e8\\u0001f1e6	Canada	\u0001f1e8\u0001f1e6	flag: Canada
\\u0001f1e8\\u0001f1e8	Cocos (Keeling) Islands	\u0001f1e8\u0001f1e8	flag: Cocos (Keeling) Islands
\\u0001f1e8\\u0001f1e9	Congo	\u0001f1e8\u0001f1e9	flag: Congo
\\u0001f1e8\\u0001f1eb	Central African Republic	\u0001f1e8\u0001f1eb	flag: Central African Republic
\\u0001f1e8\\u0001f1ec	Congo	\u0001f1e8\u0001f1ec	flag: Congo
\\u0001f1e8\\u0001f1ed	Switzerland	\u0001f1e8\u0001f1ed	flag: Switzerland
\\u0001f1e8\\u0001f1ee	Côte D'Ivoire	\u0001f1e8\u0001f1ee	flag: Côte D'Ivoire
\\u0001f1e8\\u0001f1f0	Cook Islands	\u0001f1e8\u0001f1f0	flag: Cook Islands
\\u0001f1e8\\u0001f1f1	Chile	\u0001f1e8\u0001f1f1	flag: Chile
\\u0001f1e8\\u0001f1f2	Cameroon	\u0001f1e8\u0001f1f2	flag: Cameroon
\\u0001f1e8\\u0001f1f3	China	\u0001f1e8\u0001f1f3	flag: China
\\u0001f1e8\\u0001f1f4	Colombia	\u0001f1e8\u0001f1f4	flag: Colombia
\\u0001f1e8\\u0001f1f7	Costa Rica	\u0001f1e8\u0001f1f7	flag: Costa Rica
\\u0001f1e8\\u0001f1fa	Cuba	\u0001f1e8\u0001f1fa	flag: Cuba
\\u0001f1e8\\u0001f1fb	Cape Verde	\u0001f1e8\u0001f1fb	flag: Cape Verde
\\u0001f1e8\\u0001f1fc	Curaçao	\u0001f1e8\u0001f1fc	flag: Curaçao
\\u0001f1e8\\u0001f1fd	Christmas Island	\u0001f1e8\u0001f1fd	flag: Christmas Island
\\u0001f1e8\\u0001f1fe	Cyprus	\u0001f1e8\u0001f1fe	flag: Cyprus
\\u0001f1e8\\u0001f1ff	Czech Republic	\u0001f1e8\u0001f1ff	flag: Czech Republic
\\u0001f1e9\\u0001f1ea	Germany	\u0001f1e9\u0001f1ea	flag: Germany
\\u0001f1e9\\u0001f1ef	Djibouti	\u0001f1e9\u0001f1ef	flag: Djibouti
\\u0001f1e9\\u0001f1f0	Denmark	\u0001f1e9\u0001f1f0	flag: Denmark
\\u0001f1e9\\u0001f1f2	Dominica	\u0001f1e9\u0001f1f2	flag: Dominica
\\u0001f1e9\\u0001f1f4	Dominican Republic	\u0001f1e9\u0001f1f4	flag: Dominican Republic
